day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2020-05-02,43,1520848,139775,482173,52,3005,"{""direct"":482499,""email"":112673,""organic"":463150,""paid_search"":179586}"
2020-01-04,43,1769011,121030,553958,3114,159769.14,"{""direct"":817227,""email"":175755,""organic"":354788,""paid_search"":223601}"
2020-02-04,43,1170418,90801,381323,24003,1019208.73,"{""direct"":514819,""email"":123779,""organic"":316752,""paid_search"":143362}"
2019-08-09,43,523389,53393,147151,22444,1159703.12,"{""direct"":181655,""email"":40508,""organic"":174461,""paid_search"":46008}"
2019-05-20,43,866208,90230,261214,16760,905782.12,"{""direct"":325237,""email"":108855,""organic"":250779,""paid_search"":66573}"
2020-02-14,43,629654,61768,206749,29475,1559066.79,"{""direct"":264421,""email"":77571,""organic"":208086,""paid_search"":60423}"
2019-09-21,43,221933,37009,46337,1836,103125.95,"{""direct"":44259,""email"":11324,""organic"":31451,""paid_search"":14518}"
2019-06-05,43,988542,100617,302782,28527,1595940.46,"{""direct"":290530,""email"":81843,""organic"":311559,""paid_search"":122693}"
2019-05-03,43,881735,95538,273533,27404,4085617.2,"{""direct"":314204,""email"":84221,""organic"":242726,""paid_search"":77692}"
2019-04-29,43,765361,81562,230494,21409,2782393.3,"{""direct"":264177,""email"":34456,""organic"":222092,""paid_search"":94274}"
2019-04-26,43,953113,103389,298688,26238,3381911.02,"{""direct"":343928,""email"":134489,""organic"":210239,""paid_search"":106779}"
2020-03-30,43,625624,59621,186056,19,39307.8,"{""direct"":176377,""email"":10211,""organic"":224481,""paid_search"":80536}"
2019-05-29,43,903334,95467,275948,1766,91579.4,"{""direct"":269446,""email"":125732,""organic"":252580,""paid_search"":87402}"
2020-02-23,43,772305,67813,270739,2734,161944.9,"{""direct"":344378,""email"":43253,""organic"":261235,""paid_search"":89947}"
2020-01-01,43,1249999,86755,376061,482,17863.15,"{""direct"":563643,""email"":86866,""organic"":284296,""paid_search"":158764}"
2019-07-23,43,1014694,85586,314615,1054,37379.47,"{""direct"":377684,""email"":83400,""organic"":254234,""paid_search"":157069}"
2019-06-06,43,912903,94641,279399,1744,89097.37,"{""direct"":277173,""email"":85676,""organic"":260684,""paid_search"":108122}"
2019-07-16,43,1679106,141806,521814,38446,1535376.97,"{""direct"":668542,""email"":328487,""organic"":341461,""paid_search"":152736}"
2019-05-08,43,1157138,123365,368244,19028,3311391.15,"{""direct"":398447,""email"":132273,""organic"":334475,""paid_search"":132858}"
